one kiss,Dua Lipa
This is me,settle/Greatest Showman
Havana,Camila cabello
No tears left to cry,Ariana Grande
anywhere,Rita Ora
Shape of you,Ed Sheeran
Ain' t No Stopping Us Now,McFadden & Whitehead
Hello , Lionel Ritchie
Superstition ,Stevie Wonder
Hold On,Wilson Phillips
It Must Have Been Love,Roxette
Nothing Compares 2 U,Sinead O'Connor
Poison,Bell Biv Devoe
Vogue,Madonna
Vision Of Love,Mariah Carey
Another Day In Paradise,Phil Collins
Hold On,En Vogue
Cradle Of Love,Billy Idol
Blaze Of Glory,Jon Bon Jovi
Do Me!,Bell Biv Devoe
How Am I Supposed To Live Without You,Michael Bolton
Pump Up The Jam,Technotronic
Opposites Attract,Paula Abdul
Escapade,Janet Jackson
All I Wanna Do Is Make Love To You,Heart
Close To You,Maxi Priest
Black Velvet,Alannah Myles
Release Me,Wilson Phillips
Don't Know Much,Linda Ronstadt and Aaron Neville
All Around The World,Lisa Stansfield
I Wanna Be Rich,Calloway
Rub You The Right Way,Johnny Gill
She Ain't Worth It,Glenn Medeiros feat. Bobby Brown
If Wishes Came True,Sweet Sensation
The Power,Snap
(Can't Live Without Your) Love And Affection,Nelson
Love Will Lead You Back,Taylor Dayne
Don't Wanna Fall In Love,Jane Child
Two To Make It Right,Seduction
Sending All My Love,Linear
Unskinny Bop,Poison
Step By Step,New Kids On The Block
Dangerous,Roxette
We Didn't Start The Fire,Billy Joel
I Don't Have The Heart,James Ingram
Downtown Train,Rod Stewart
Rhythm Nation,Janet Jackson
I'll Be Your Everything,Tommy Page
Roam,B-52's
Everything,Jody Watley
Back to Life (However Do You Want Me),Soul II Soul
Here And Now,Luther Vandross
Alright,Janet Jackson
Ice Ice Baby,Vanilla Ice
Blame It On The Rain,Milli Vanilli
Have You Seen Her,M.C. Hammer
With Every Beat Of My Heart,Taylor Dayne
Come Back To Me,Janet Jackson
No More Lies,Michel'le
Praying For Time,George Michael
How Can We Be Lovers,Michael Bolton
Do You Remember,Phil Collins
Ready Or Not,After 7
U Can't Touch This,M.C. Hammer
I Wish It Would Rain Down,Phil Collins
Just Between You And Me,Lou Gramm
Something Happened On The Way To Heaven,Phil Collins
Black Cat,Janet Jackson
Can't Stop,After 7
Janie's Got A Gun,Aerosmith
The Humpty Dance,Digital Underground
I'll Be Your Shelter,Taylor Dayne
Free Fallin',Tom Petty
Giving You The Benefit,Pebbles
Enjoy The Silence,Depeche Mode
Love Song,Tesla
Price Of Love,Bad English
Girls Nite Out,Tyler Collins
King Of Wishful Thinking,Go West
What Kind Of Man Would I Be?,Chicago
I Remember You,Skid Row
Get Up! (Before The Night Is Over),Technotronic
Here We Are,Gloria Estefan
Epic,Faith No More
Love Takes Time,Mariah Carey
Just Like Jesse James,Cher
Love Shack,B-52s
All Or Nothing,Milli Vanilli
Romeo,Dino
Everybody Everybody,Black Box
I Go To Extremes,Billy Joel
Whip Appeal,Babyface
Oh Girl,Paul Young
C'mon And Get My Love,D-Mob With Cathy Dennis
(It's Just) The Way That You Love Me,Paula Abdul
We Can't Go Wrong,Cover Girls
When I'm Back On My Feet Again,Michael Bolton
Make You Sweat,Keith Sweat
This One's For The Children,New Kids On The Block
What It Takes,Aerosmith
Forever,Kiss
Jerk Out,Time
Just A Friend,Biz Markie
Whole Wide World,A'me Lorain
Without You,Motley Crue
Swing The Mood,Jive Bunny and The Master Mixers
Thieves In The Temple,Prince
Mentirosa,Mellow Man Ace
Tic-Tac-Toe,Kyper
